,0,1
831,oreigningssak,ekspropriasjonsak
832,oreigning,ekspropriasjon
833,oreigningslov,ekspropriasjonslov
834,årsak,foranledning
835,mjølk,melk
836,jól,jul
837,jol,jul
838,mån,man
839,tilgjenge,adgang
840,åtgang,adgang
841,framkomme,adkomst
842,framkomme,atkomst
843,tilkomme,tilkomst
844,tilkomme,ankomst
845,verdsalt,verdensalt
846,heider,heder
847,heider,anerkjennelse
848,åtakar,angriper
849,erkjenning,erkjennelse
850,angripar,angriper
851,klagar,anklager
852,hyppigheit,hyppighet
853,riktigheit,riktighet
854,oppriktigheit,oppriktighet
855,fleirspråklegheit,flerspråklighet
856,framandfiendtlegheit,fremmedfiendtlighet
857,framkjømd,fremkommelighet
858,framkomsttilhøve,fremkommelighet
859,framkomstforhold,fremkommelighet
860,døyelegheit,dødelighet
861,døying,dødelighet
862,varigheit,varighet
863,sannsyn,sannsynlighet
864,umoglegheit,umulighet
865,valmoglegheit,valgmulighet
866,moglegheit,mulighet
867,høve,mulighet
868,høve,anledning
869,breiband,bredbånd
870,uthald,utholdenhet
871,tilhald,tilhold
872,løyse,ledighet
873,smidigheit,ledighet
874,arbeidsløyse,ledighet
875,arbeidsløyse,arbeidsledighet
876,viktigheit,viktighet
877,tomheit,tomhet
878,tomleik,tomhet
879,samiskheit,samiskhet
880,arbeid,arbeide
881,arbeide,arbeid
882,arbeidar,arbeider
883,åre,arne
884,osp,asp
885,avgjersle,avgjørelse
886,framandgjering,fremmedgjørelse
887,framandgjering,fremmedgjøring
888,avgjerd,avgjørelse
889,avgjerd,avgjersle
890,avgjerd,bestemmelse
891,avgjerd,beslutning
892,lovføresegn,lovbestemmelse
893,bakar,baker
894,tyskar,tysker
895,sveitsar,sveitser
896,sakførar,sakfører
897,mordar,morder
898,spisar,spiser
899,etar,spiser
900,frelsar,frelser
901,borgar,borger
902,statsborgar,statsborger
903,vandrar,vandrer
904,innvandrar,innvandrer
905,nyinnvandrar,nyinnvandrer
906,føretak,foretak
907,føretak,bedrift
908,folkesetnad,befolkning
909,omgrep,begrep
910,grunngjeving,begrunnelse
911,grunngiving,begrunnelse
912,byrjing,begynnelse
913,byrjar,begynner
914,begynnar,begynner
915,handsaming,behandling
916,førehaving,behandling
917,behandlar,behandler
918,filhandsamar,filbehandler
919,filbehandlar,filbehandler
920,saksarbeidar,saksbehandler
921,saksbehandlar,saksbehandler
922,sakshandsamar,saksbehandler
