,100-1- -a,245-1-0-a,260- - -c,653- - -a,lang,year,245-1-0-b,245-1-3-a,245-1-3-b
2013050807031,"Eidissen, Bjørn",Mads og Mia på stranda,2007,"dyreliv, fjæra, maneter, sjøstjerner, skjell, strandsonen",nob,2007,,,
2013051306070,"Vaaler, André",Silvias jul,2006,,nob,2006,,,
2013052707003,"Jewitt, Kath",Min første bok om dyrene på gården,2007,,nob,2007,,,
2013052707012,"Piotrowska, Małgorzata",Krokodille til jul,2008,"annerledes, billedbøker, forskje, krokodiller, llig, sauer, ulver, uvanlig, yoga",nob,2008,,,
2013060306051,"Bolstad, Ann Hilde",Ikke bra nok?,cop. 2010,,nob,2010,,,
2013060306074,"Borg, Terje",Hva gjør de voksne når vi ikke ser?,2009,"barn, bildebøker, billedbøker, voksne",nob,2009,,,
2013061806072,"Jewitt, Kath",Min første bok om traktorer,2007,,nob,2007,,,
2013061905001,"Svensen, Berit A.",Vilde vil ikke =,2006,,mul,2006,Vilde vil ikkje,,
2013061938077,"Qvale, Annine",Bokbærerne :,2007,"billedbøker, teater",nob,2007,en billedbok,,
2013062038126,"Eliassen, Ruben",,2012,"alver, barnebøker, fantastisk, litteratur",nob,2012,,,
2013062106033,"Sager, Mari Eggen",Monster-Frida,2010,"barn, barnebøker, billedbøker, kroppen, tannfelling, voksne",nob,2010,,,
2013062138121,"Svingen, Arne",Med egne øyne,2010,"barnebøker, barnelitteratur, grafiske, kjærlighet, musikk, norsk, romaner, synshemmede, ungdomsbøker",nob,2010,,,
2013062406030,"Aakeson, Kim Fupz",Vitello riper opp en bil,2010,"barn, billedbøker, foreldre, samvittighet",nob,2010,,,
2013062406068,"Husby, Olaf",Ordleiksboka,cop. 2008,"bokstaver, grammatikkleik, norsk, nynorsk, ordleikar, ordleker, språk, språkleikar, språkleker",nno,2008,,,
2013062608004,"Rowling, J.K.",Harry Potter og halvblodsprinsen,2008,"barnebøker, fantastisk, litteratur, ungdomsbøker",nob,2008,,,
2013070108158,"Lindgren, Astrid","Mio, min Mio",2013,,nob,2013,,,
2013070108186,"Andersen, May-Britt Schei",Lyd og stillhet disponert over tid,2011,,nob,2011,,,
2013070108208,"Sævareid, Heidi",Spranget,2013,"kyrkjelydarnorsk, litteratur, menigheter, tvillingar, tvillinger, ungdomsbøker",nob,2013,,,
2013070205121,"Nermoen, Berit",Alle elsker Fantorangen,2010,,nob,2010,,,
2013070306012,"Meyer, Stephenie",Under en ny måne,2009,vampyrer,nob,2009,,,
2013070306117,"Potter, Beatrix",Petter Kanins eventyr,2008,,nob,2008,,,
2013070408002,"Eeg, Harald Rosenløw",Hunger,2012,"annerledes, fedre, foreldre, kjærleik, kjærlighet, søsken, ungdomsbøker, ungdomslitteratur",nob,2012,,,
2013070408066,"Sveinsvoll, Aslaug",Lilla lastebil,[2013],,nno,2013,,,
2013070508025,"Grant, Michael",BZRK,2013,,nob,2013,,,
2013070508037,"Harrison, Lisi",Tillbake [i.e. Tilbake] og dødere enn noensinne,cop. 2013,,nob,2013,,,
2013070808099,"Johnsen, Kjetil",Maria-eksperimentet,2012,,nob,2012,,,
2013070906009,"Collodi, Carlo",Pinocchio,2008,,nob,2008,,,
2013070938066,"Ingvaldsen, Bjørn",Samarbeid,2013,"barnebøker, fotball",nob,2013,,,
2013070938124,"Riordan, Rick",,2013,"barnebøker, egyptisk, fantastisk, fantasy, mytologi, ungdomsbøker",nob,2013,,,
2013071008067,"Grimm, Jacob",Illustrerte eventyr,2012,folkeeventyr,nob,2012,,,
2013071208204,"Kopietz, Gerit",Sjokoladetyven - og andre detektivhistorier,2007,"barn, lettlest, spøkelser, spøkelseshistorier",nob,2007,,,
2013071506043,"Van Genechten, Guido",Rikki og Klara,cop. 2008,"billedbøker, høns, kaniner, vennskap",nob,2008,,,
2013071608250,"Münch, Annette",Kaoskrigeren,2008,"barnevernet, familie, kampidrett, rusmisbruk, ungdom, ungdomsbøker, vold",nob,2008,,,
2013071705137,"Berk, Sheryl",Hvorfor rumler det i magen min?,2007,,nob,2007,,,
2013071708130,"Gotthardt, Peter",,2010,,nob,2010,,,
2013071808030,"Bertling, Berit",Milla og midnattsmysteriet,2013,"hester, spenning, vennskap",nob,2013,,,
2013071808059,"Riordan, Rick",,2013,,nob,2013,,,
2013071808080,"Gotthardt, Peter",Katla og Knøtten,2013,,nob,2013,,,
2013071905162,"Gjelseth, Linda Benedikte",Norsk start,2010,"andrespråk, k06, læremiddel, læreverk, norsk",nob,2010,,,
2013072208112,"Aamodt, Ingunn",Korte grøss,2012,"barnebøker, grøsser",nob,2012,,,
2013072208254,"Kinney, Jeff",Hundedager,cop. 2011,"barnebøker, barnelitteratur, engelsk, familien, humor, søsken, ungdomsbøker, vennskap",nob,2011,,,
2013072508042,"Pilkey, Dav",Kaptein Super-truse og de drittleie doene,2005,,nob,2005,,,
2013073006047,"Tison, Annette",Barbapapas vår,2009,,nob,2009,,,
2013073108064,"Colfer, Eoin",Artemis Fowl og atlantiskomplekset,2011,"alver, barnebøker, eventyrskikkelser, fantastisk, fantasy, irsk, litteratur, ungdomsbøker, ungdomslitteratur",nob,2011,,,
2013080208092,"Mysen, Christine",Kompasset,2012,,nob,2012,,,
2013080508400,"Higson, Charles",Blodfeber,2009,,nob,2009,,,
2013081208120,"Simon, Francesca",Rampete Robin lager stinkbombe,2012,,nob,2012,,,
