,1
Barnepiken,0.14285714285714285
Barneskolen,0.03225806451612903
Barnet,0.13043478260869565
Barnevernet,0.09090909090909091
Barnevogner,0.5
Barnsfeld,1.0
Barnslig,0.041666666666666664
Barnslige,0.125
Barnålene,0.3333333333333333
Barokke,1.0
Baron,1.0
Barrel,1.0
Barrett,7.0
Barry,16.0
Barsking,1.0
Bart,0.09090909090909091
Barten,0.16666666666666666
Bartenderen,0.2857142857142857
Bartlesville,2.0
Barton,53.0
Bartons,4.0
Baseball,0.06666666666666667
Baseballaget,0.5
Basert,0.07407407407407407
Basia,1.0
Basilikaen,1.0
Basketball,0.0625
Basketmålet,1.0
Bassenget,0.23076923076923078
Bassisthår,1.0
Basta,1.0
Basti,1.0
Bastillen,1.0
Bat,3.0
Bataljonen,1.0
Batavia,1.0
Bathory,0.5
Baton,1.0
Bauer,2.0
Bautista,1.0
Bay,6.0
Bazar,3.0
Bazine,2.0
Beach,4.0
Beaker,5.0
Beate,107.0
Beates,1.0
Beatles,5.0
Beatlessangen,1.0
Beau,36.0
Beaudry,1.0
Beaus,1.0
Beaver,0.5
Becca,49.0
Beccas,6.0
Bechard,1.0
Beck,264.0
Becker,1.0
Beckett,6.0
Becks,25.0
Becky,205.0
Beckys,7.0
Bectf,1.0
Bedazzler,1.0
Bedazzleren,1.0
Bedragerne,0.5
Bedriten,0.07692307692307693
Bedritent,0.125
Bedårende,0.1111111111111111
Befaler,0.14285714285714285
Befalte,0.125
Befkeley,1.0
Befolkning,0.14285714285714285
Begeistringen,0.6666666666666666
Begeret,0.05555555555555555
Begjær,0.25
Begrav,1.0
Begrave,0.14285714285714285
Begravelse,0.1
Begravelsen,0.030303030303030304
Begravelsesagentsangen,1.0
Begrepet,0.5
Begriper,0.125
Begynn,0.5454545454545454
Begynne,0.022304832713754646
Begynnelsen,0.021052631578947368
Begynner,0.011904761904761904
Begynt,0.004032258064516129
Begå,0.07692307692307693
Behaget,0.5
Behind,0.5
Behold,0.1111111111111111
Behovet,0.125
Behåene,0.5
Beijing,1.0
Bein,0.008333333333333333
