,100-1- -a,245-1-0-a,260- - -c,653- - -a,lang,year,245-1-3-a,245-1-0-b,245-1-3-b
2014052605102.0,"Dubuc, Marianne",Dyrenes karneval,2011,"barnebøker, bildebøker, billedbøker, dyr, karneval",nob,2011.0,,,
2014062006088.0,"Lidbeck, Petter",Verdens verste lærer,2010,"barnebøker, elever, lærere, manipulasjon",nob,2010.0,,,
2014062307153.0,"Bolstad, Ann Hilde","Er det så farlig, da?",cop. 2010,"barnebøker, billedbøker",nob,2010.0,,,
2014062405042.0,"Krogvold, Fritjof C.",Skating :,2011,"barnebøker, rullebrett, skateboard, skating",nob,2011.0,,alt om rullebrett,
2014062406078.0,"Ingvaldsen, Bjørn",Bambusskudd i mørket,2011,"barnebøker, spenningslitteratur",nob,2011.0,,,
2014062607080.0,"Eliassen, Ruben",,2011,"barnebøker, fantastisk, litteratur",nob,2011.0,,,
2014062707112.0,"Jansson, Tove",Mummi :,2010,"barnebøker, finland, tegnekunst, tegneserier",nob,2010.0,,Tove Janssons samlede tegneserier,
2014070206019.0,"Hagen, Gudny Ingebjørg",Plommegrøt,2011,"barnebøker, barnehager, billedbøker, renslighet",nob,2011.0,,,
2014070405016.0,"Widmark, Martin",Sykehusmysteriet,2011,barnebøker,nob,2011.0,,,
2014070406091.0,"Hollen, John",Flaks,2010,"barn, barnebøker, fedre, flaks, foreldre, uhell",nob,2010.0,,,
2014070406100.0,"Eriksen, Endre Lund",Pitbull-Terje går amok,2010,"barnebøker, foreldre, gutter, lidelser, psykiske, vennskap",nob,2010.0,,,
2014081506024.0,"Rønhovde, Lisbeth Iglum",Boken om Stella,2011,"adhd, barnebøker, hyperaktivitet, jenter",nob,2011.0,,,
2014082107086.0,"Newth, Philip",Au! :,2011,"barnebøker, historie, tannlegevitenskap, tannrøkt, tannsykdommer, tenner",nob,2011.0,,den grusomme tannpinens historie,
2014090306045.0,"Rossebø, Arild",David skater,2011,"barnebøker, idrett, lettlest, rullebrett, skateboard, skating",nob,2011.0,,,
2014111807549.0,"Ewo, Jon",Spillet om Sydpolen :,2011,"antarktis, barnebøker, ekspedisjonar, polferder, sydpolen, sydpollandet",nob,2011.0,,et kappløp dit kartet slutter,
2014112007607.0,"Tjønn, Brynjulf Jung",Fotballskoene,2012,"barnebøker, billedbøker, blokkbokstaver, fotball, lettlest, vennskap",nob,2012.0,,,
2014112007661.0,"Lindell, Unni",Nifse Nella og jordbærgiften :,cop. 2010,"barnebøker, spania, spøkelser, tyrefekting",nob,2010.0,,den fjerde sannheten,
2014112707545.0,"Osland, Erna",Når du går på ei bru,cop. 2011,"barnebøker, broer, bruer, byggeteknikk, bygging, faktabøker, ingeniørfag, konstruksjoner, teknikk",nno,2011.0,,,
2014120807508.0,"Hansen, Kari",Kosinus og Solveig,2011,"barnebøker, barnehage, begynneropplæring, billedbøker, former, førskole, lek, matematikk, tall",nob,2011.0,,,
2014120807632.0,"Johansen, Elisabeth",Ulv!,cop. 2011,"barnebøker, faktabøker, norge, rovdyr, ulver",nob,2011.0,,,
2014120807649.0,"Kuhn, Camilla",Ida og ulven,2011,"barnebøker, barnelitteratur, besteforeldre, billedbøker, bokstaver, lettlest, norsk, redsel, store",nob,2011.0,,,
2014120907553.0,"Salmson, Jo",Jakten på Tam,2010,barnebøker,nob,2010.0,,,
2015011608079.0,"Kjetun, Mari",Helt Max i Afrika,2012,"barnebøker, bestevenner, lettlest, norsk, sjiraff",nob,2012.0,,,
2015042108223.0,"Berggren, Arne",Døden svarer,cop. 2014,"barn, barnebøker, død, litteratur, norsk, skjønnlitteratur, ungdom",nob,2014.0,,,
