,håret,neglene,neglen,hendene,øynene,øyet,øyenvippene,øyenbrynene,ansiktet,pannen,hodet,halsen,nakken,skulderen,skuldrene,magen,brystet,brystene,fingrene,tommelen,ankelen,foten,tærne,tåen,tåa,rumpa,rumpen,lårene,leggene,knærne,kneet,armen,hånden,albuen,fingeren,lemmet,kjønnet
en,37.0,,1.0,25.0,151.0,8.0,,5.0,39.0,9.0,130.0,7.0,3.0,12.0,16.0,12.0,7.0,1.0,7.0,1.0,3.0,9.0,,,,2.0,,,,3.0,,15.0,41.0,1.0,8.0,,
limt,2.0,,,1.0,10.0,1.0,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
hele,12.0,1.0,,12.0,42.0,3.0,,1.0,16.0,3.0,50.0,11.0,8.0,7.0,2.0,23.0,4.0,,1.0,,,3.0,6.0,,,5.0,,1.0,,1.0,2.0,3.0,30.0,,4.0,,
det,3.0,,,4.0,8.0,3.0,,,8.0,,11.0,2.0,1.0,1.0,1.0,10.0,1.0,,2.0,,,1.0,2.0,,,,,,,1.0,,2.0,1.0,,1.0,,1.0
flagrende,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flagrer,27.0,,,,4.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
flatt,11.0,,,36.0,,,,,3.0,,3.0,,,,,2.0,,,2.0,,,3.0,,,,,,,,,,,14.0,,,,
fløt,13.0,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
fosset,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
framhever,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hang,181.0,,,11.0,8.0,8.0,,,2.0,1.0,37.0,32.0,4.0,14.0,15.0,3.0,4.0,,1.0,,,4.0,,1.0,,,,,,,,20.0,13.0,,2.0,,
bølget,34.0,,,,,,,,2.0,,,1.0,,,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,
heitte,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heller,6.0,1.0,,8.0,7.0,,,,9.0,,10.0,4.0,2.0,2.0,4.0,4.0,,,,2.0,,,2.0,,,,,,,,,,3.0,,,,
eller,89.0,7.0,,69.0,79.0,22.0,2.0,1.0,45.0,5.0,171.0,46.0,23.0,27.0,4.0,61.0,19.0,3.0,25.0,,8.0,28.0,5.0,,6.0,13.0,1.0,3.0,2.0,15.0,10.0,56.0,42.0,3.0,13.0,,
henger,50.0,,,6.0,,1.0,,,1.0,,14.0,10.0,1.0,4.0,3.0,,1.0,,4.0,,,4.0,,,,1.0,,,,1.0,,15.0,1.0,,,,
hennar,108.0,3.0,,59.0,,,,,171.0,,,40.0,13.0,,34.0,32.0,17.0,,,,1.0,14.0,4.0,,,9.0,,,1.0,,6.0,59.0,,,2.0,,1.0
bæsjebrunt,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
igjen,95.0,7.0,1.0,109.0,1803.0,42.0,,11.0,190.0,79.0,737.0,77.0,25.0,100.0,236.0,173.0,60.0,,29.0,15.0,6.0,29.0,3.0,,2.0,5.0,,8.0,4.0,38.0,2.0,90.0,219.0,9.0,32.0,,
kan,9.0,,2.0,9.0,21.0,78.0,,,9.0,2.0,27.0,5.0,,2.0,1.0,10.0,2.0,,8.0,,1.0,3.0,3.0,,,5.0,,,,1.0,,4.0,9.0,1.0,3.0,,
klistra,5.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kruset,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krøller,3.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
legger,6.0,,,,,,,,6.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,2.0,1.0,,,,
lengre,4.0,,,2.0,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
ligger,34.0,,,6.0,8.0,,,1.0,8.0,3.0,9.0,,,,,4.0,,,3.0,,,3.0,2.0,,2.0,,,,,,,7.0,9.0,,1.0,,
når,39.0,,1.0,93.0,193.0,6.0,,1.0,108.0,22.0,171.0,58.0,29.0,17.0,20.0,205.0,67.0,1.0,25.0,4.0,,13.0,17.0,,1.0,18.0,,4.0,4.0,23.0,2.0,16.0,78.0,5.0,4.0,,
faller,52.0,,,,6.0,,,,3.0,,13.0,,,,4.0,,1.0,,,,,,,,,,,,,,,3.0,1.0,,,,
danset,28.0,,,,8.0,3.0,,,,,1.0,1.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,
grått,7.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fra,75.0,2.0,,134.0,439.0,5.0,,1.0,62.0,3.0,393.0,11.0,9.0,8.0,1.0,5.0,6.0,,47.0,3.0,,40.0,2.0,,2.0,2.0,,4.0,,6.0,4.0,41.0,154.0,1.0,25.0,,
lå,96.0,,,14.0,19.0,3.0,1.0,,32.0,1.0,16.0,5.0,1.0,1.0,2.0,2.0,2.0,,3.0,,,3.0,,,1.0,,,,,5.0,,25.0,25.0,,,,
mot,21.0,43.0,3.0,1324.0,540.0,50.0,14.0,82.0,1517.0,490.0,2395.0,25.0,22.0,265.0,39.0,40.0,16.0,7.0,521.0,218.0,1.0,131.0,14.0,9.0,3.0,38.0,,9.0,16.0,84.0,46.0,237.0,1714.0,39.0,364.0,,
(,15.0,3.0,,15.0,19.0,3.0,,2.0,15.0,8.0,37.0,8.0,2.0,7.0,7.0,7.0,4.0,,4.0,3.0,,6.0,4.0,,1.0,,,1.0,,1.0,,2.0,19.0,2.0,5.0,,
skjulte,11.0,,,3.0,1.0,,,,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
samla,10.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
