,håret,neglene,neglen,hendene,øynene,øyet,øyenvippene,øyenbrynene,ansiktet,pannen,hodet,halsen,nakken,skulderen,skuldrene,magen,brystet,brystene,fingrene,tommelen,ankelen,foten,tærne,tåen,tåa,rumpa,rumpen,lårene,leggene,knærne,kneet,armen,hånden,albuen,fingeren,lemmet,kjønnet
knytte,,,,5.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
forent,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avvæpnende,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
omhyggjeleg,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprengt,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
støpt,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svetter,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
skrekkslagent,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halweis,,,,6.0,31.0,1.0,,,7.0,,6.0,,,,,,,,,,,2.0,,,,,,,,,,1.0,21.0,,,,
fyr,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kring,,,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,4.0,,,,,
kvile,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ledige,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
formet,,,,11.0,1.0,1.0,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,
utstrakt,,,,31.0,,,,,,,,3.0,1.0,,,,,,2.0,,,1.0,,,,,,,,,,22.0,63.0,,1.0,,
strekte,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
strammet,,,,6.0,1.0,,,1.0,4.0,1.0,,4.0,3.0,4.0,3.0,12.0,2.0,,4.0,,,,,,,,,,,,,7.0,2.0,,,,
stjålent,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
sprikende,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,,,,1.0,,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Endelig,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Måre,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
famlet,,,,9.0,1.0,,,,,,,1.0,,,,,,,11.0,,,,,,,,,,,,,1.0,4.0,,,,
gom,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halvannen,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skled,,,,1.0,,,,,2.0,,,,,,,,,,,,,9.0,,,,,,,,,,2.0,1.0,,,,
saman,,,,58.0,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,
spørrende,,,,1.0,6.0,,,40.0,,14.0,15.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
mykt,,,,2.0,,,,,2.0,,3.0,,1.0,1.0,,,,,4.0,1.0,,,,,,,,,,,,1.0,11.0,,1.0,,
hvilendepå,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lavt,,,,4.0,9.0,,,,,,131.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
varme,,,,6.0,2.0,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,
vendt,,,,3.0,9.0,1.0,,1.0,343.0,,81.0,,,,,,,,2.0,,,1.0,,4.0,,,,,,2.0,,,3.0,,,,
Ricardo,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trodde,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Som,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
fiklet,,,,3.0,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,1.0,,,,
prøvde,,,,5.0,7.0,,,,3.0,,3.0,,,,,8.0,3.0,,,,,1.0,,,,,,,,1.0,,,8.0,,1.0,,
nedgravd,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
"skjelver,",,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heva,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
såre,,,,3.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
77,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,
25,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demonstrativt,,,,3.0,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
samler,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disponible,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instinktivt,,,,6.0,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,
knytt,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
låst,,,,14.0,7.0,,,,2.0,,6.0,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,
frie,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
osv.,,,,3.0,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,,
dro,,,,4.0,,,,,,2.0,1.0,1.0,1.0,,2.0,1.0,,,,,,,1.0,,,,,,,,,3.0,15.0,,,,
skjelver.,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oppdaga,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vernende,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
begravet,,,,1.0,,,,,9.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
blødde,,,,5.0,,,,,,1.0,2.0,1.0,,,,,2.0,,2.0,,,,,,,,,,,1.0,,,1.0,,,,
åpne,,,,10.0,585.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forbrytelse,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avverjande,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bar,,,,14.0,2.0,,,,6.0,,17.0,9.0,2.0,7.0,5.0,5.0,4.0,,,1.0,,4.0,,,,16.0,,,,2.0,,18.0,19.0,,4.0,,
blande,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jxb,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
same,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sekundet,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vannari,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dirrer,,,,2.0,,,,,,,,,,,,,1.0,,5.0,,,,,,,,,,,1.0,,,2.0,,,,
omkring,,,,8.0,1.0,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,67.0,3.0,,,,
frustrert,,,,7.0,3.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,9.0,,,,
klebrige,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skjøv,,,,1.0,,,,,,,,1.0,,,,1.0,,,1.0,,,5.0,,,,,,,,,,2.0,3.0,,2.0,,
nappet,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falda,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
framføre,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hale,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenge,,,,7.0,17.0,,,,3.0,,6.0,3.0,,,,3.0,,,,,,,,,,5.0,,,,,,,2.0,,,,
begeistret,,,,6.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
skjennet,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solid,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
symbolsk,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tafatt,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
tennene,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
tjue,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
JEG,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
brenner,,,,2.0,8.0,,,,7.0,1.0,3.0,3.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,
forventningsfullt,,,,7.0,3.0,,,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
karslig,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
ertende,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opptekne,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stoppet,,,,2.0,,,,,2.0,,2.0,,,,,3.0,,,,,,1.0,,,,,,,,,,,1.0,,,,
passet,,,,2.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skjelvende,,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,,,,
skj,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
Jesus,,,,2.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
mor,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hviler,,,,4.0,,,,,,,6.0,2.0,1.0,,,1.0,,,1.0,1.0,,3.0,,,,,,,,,2.0,,4.0,2.0,,,
kalde,,,,2.0,11.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
stadig,,,,2.0,8.0,,,,2.0,,2.0,1.0,,2.0,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,1.0,,
298,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effektivt,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
fektet,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klare,,,,10.0,11.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,
alvorlig,,,,2.0,,,,,14.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
djupt,,,,6.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
spakt,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steg,,,,1.0,,1.0,,,,,2.0,1.0,,,,,13.0,,,,,,,,,,,,,,,,,,,,
klamret,,,,5.0,1.0,,,,1.0,,,,,,,,,,6.0,,,,,,,,,,,,,,7.0,,,,
innanfor,,,,1.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
285,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
bula,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gong,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forferdet,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
beskjed,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sang,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
andektig,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brann,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
tettere,,,,1.0,3.0,,,,2.0,,,,,,1.0,,,,2.0,,,,,,,,,,,3.0,,7.0,,,,,
Fulle,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
utenfor,,,,3.0,4.0,2.0,,,3.0,,8.0,,,,,1.0,,,,,,14.0,4.0,,4.0,2.0,,,,,,1.0,5.0,,,,
DRØMMEFANGEREN,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forskrekket,,,,1.0,17.0,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
hvordan,,,,7.0,2.0,,,,,,1.0,,,,,2.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,1.0,,
lander,,,,2.0,3.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,
myndig,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
beskytende,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolutt,,,,3.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
triumferende,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,2.0,,3.0,,
veivende,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
verket,,,,2.0,6.0,,,,2.0,4.0,48.0,10.0,10.0,7.0,10.0,11.0,7.0,,4.0,,2.0,2.0,,,1.0,1.0,,4.0,1.0,5.0,2.0,8.0,8.0,,,,
klamme,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
endte,,,,3.0,,,,,,,1.0,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,
dirret,,,,7.0,2.0,1.0,,2.0,2.0,2.0,,,,,,1.0,,,6.0,,,,,,,,,,1.0,,2.0,6.0,1.0,,,,
krampaktig,,,,5.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
opprømt,,,,5.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rette,,,,1.0,,,,,,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
rolige,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
store,,,,1.0,40.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
stryke,,,,6.0,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,9.0,,3.0,,
støttet,,,,6.0,,,,,1.0,1.0,19.0,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,
bønnfallende,,,,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
ber,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
I,,,,2.0,1.0,,,1.0,3.0,,3.0,1.0,1.0,,,1.0,,,1.0,,,2.0,,,,,,,,,,,1.0,,,,
72,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
langsetter,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opptatt,,,,3.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
stygt,,,,3.0,,,,,1.0,,,,,,,,,,,,4.0,1.0,,,,,,,,,,1.0,,,,,
famlande,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veiver,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
bredt,,,,2.0,,,,,6.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
helte,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
henrykt,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
held,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
klappende,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krydde,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lente,,,,2.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
yrte,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
støtt,,,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mistet,,,,1.0,2.0,,,,2.0,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,1.0,,,,
41,,,,1.0,1.0,,,,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
blei,,,,2.0,2.0,,,,5.0,,1.0,5.0,1.0,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,
dyyypt,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hjelpeløst,,,,5.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,2.0,,,,
39,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stolt,,,,2.0,,,,,,,11.0,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,4.0,,,,
tilhører,,,,1.0,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
tørre,,,,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
utfører,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
føn,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaste,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
LETTELSER,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overalt,,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
7,,,,2.0,,1.0,,,1.0,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,
røre,,,,2.0,,,,,,,,,,,,,,,5.0,,,1.0,,,,,,,,,,,,,1.0,,
oversettelser,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tet,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tekkelig,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
følelsesløse,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenket,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
besluttsomt,,,,2.0,3.0,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
hevet,,,,24.0,1.0,,,20.0,1.0,1.0,67.0,,,,8.0,,28.0,,3.0,,,3.0,,,,,,,,,,14.0,26.0,,1.0,,
hjelpeløst.,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klasket,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vere,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svettet,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
roleg,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indikerte,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kari,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inkjekjønn,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEL,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fekk,,,,1.0,,,,,1.0,,,,,,,,2.0,,,,,1.0,,,,,,,,,1.0,,,,,,
framstrakt,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
startet,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fortvilet,,,,6.0,1.0,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,
mismodig,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
oppskrapt,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
tilbodet,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,1.0,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
240,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
<,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,,,,1.0,3.0,,,,1.0,1.0,2.0,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,
bakbundet,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bekymret,,,,2.0,3.0,,,,,26.0,4.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
bundel,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
husker,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
skyldbetynget,,,,3.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
skjønte,,,,1.0,2.0,,,,3.0,,,,,,,4.0,,,,,,,,,,1.0,,,,1.0,,,,,,,
19,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,2.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
PfV,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forsvarende,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gjemt,,,,3.0,4.0,,,,22.0,,11.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
halvt,,,,5.0,131.0,6.0,,,4.0,,14.0,,,,,,,,,,,1.0,,,,,,,,2.0,,1.0,7.0,,,,
filosofisk,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
borttil,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,
sprukne,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
begravde,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hekte,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
las,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miste,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strakk,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
GUTTtN,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Øk,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bedagelig,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sammenbundet,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surret,,,,3.0,,,,,1.0,,8.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,
engstelig,,,,3.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
hahs,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muntert,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mye,,,,7.0,,,,,3.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
stille,,,,8.0,2.0,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,
trykket,,,,4.0,,,,,10.0,,10.0,1.0,,,,2.0,,,1.0,,,,,,,,,,,1.0,,,6.0,,1.0,,
sammen.,,,,6.0,6.0,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonah,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arbeidet,,,,2.0,,,,,1.0,,1.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,
bladde,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
klemmer,,,,5.0,,,,,,,,,2.0,,,,,,12.0,,,,,,,,,,,,,,3.0,,1.0,,
roet,,,,1.0,,,,,1.0,1.0,2.0,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,
stivnet,,,,3.0,4.0,,,,22.0,,,1.0,1.0,,3.0,,,,,,,,1.0,,,,,,,,,,5.0,,,,
uskadd,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
nærmet,,,,2.0,1.0,2.0,,,3.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,2.0,,
koblet,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
automatisk,,,,4.0,3.0,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,3.0,8.0,,,,
flakket,,,,1.0,52.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kjekt,,,,1.0,,,,,,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,
luska,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
utfordrende,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
veivet,,,,3.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
skin,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panisk,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usikker,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knuger,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
dydig,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nøye,,,,5.0,,,,,3.0,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,
søke,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stappfulle,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
slips,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lukker,,,,1.0,6.0,1.0,,,2.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,
ladet,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faderlig,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
berøre,,,,1.0,,,,,,3.0,,,,,,,,,2.0,,,,3.0,,,,,,,,1.0,,5.0,,2.0,,
arbeide,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
121,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,
forsvinne,,,,2.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
